"Year","County","Sex","Age","Harvest_Increase","year_freq","Class","Value","Class_Specify","Sex2","N_preharvest"
2028,"Jackson","Male","Mature (3.5+)",-0.2,"2026","precFawn",37.5757762254977,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.2,"2026","precFawn",37.2285577973745,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.2,"2026","precFawn",37.2034146868584,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.2,"2026","precFawn",37.1631777120102,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.2,"2026","precFawn",37.1490818549642,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.2,"2026","precFawn",37.1418298916697,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.2,"2026","precFawn",37.1374279567191,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.2,"2026","precFawn",37.1367265154145,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",39.9788343790158,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.0035627805111,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.6209255037279,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.2497690175547,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.2137551921681,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.168361021572,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.1519726091355,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.1435717858929,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.1380111816069,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.1,"2026","precFawn",37.1373124437923,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",40.4058307612383,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.1940159677544,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.7132974041416,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.2934139121855,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.2338781942342,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.1781556633752,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.1565987516927,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.1458945656932,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.1385944248135,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.1,"2026","precFawn",37.1373124437923,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",40.6224557199256,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.2894000621697,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.7587779650273,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.3146991222793,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.2442356431971,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.182766693022,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.1583338521885,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.1470560645383,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.1397609661866,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.2,"2026","precFawn",37.138484356017,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",40.8414159510718,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.3858572007355,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.8049535603715,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.3360086433092,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.2545988560829,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.1879554687258,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.1606475716065,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.1476368412001,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.1397609661866,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.3,"2026","precFawn",37.138484356017,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",41.0621118012422,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.482814648169,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.8506555903413,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.3579194465036,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.2649678377041,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.1931456927968,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.1635401260995,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.1493792801526,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.1403442643548,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.4,"2026","precFawn",37.138484356017,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",41.2864949258392,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.5802763071332,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.8970563133312,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.3792783744109,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.2747660660428,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.1971835354695,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.165854493936,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.149960129462,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.1409275808453,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.5,"2026","precFawn",37.1390703398656,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",39.1530944625407,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",36.0110470701249,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",37.135254314605,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",37.0200327502563,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",37.1037519437131,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",37.1160185084882,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",37.1271268157641,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",37.1313819562737,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",37.1321797569325,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.5,"2027","precFawn",37.1343829867794,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",39.3564614308464,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",36.2422393087509,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",37.2491001159173,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",37.0739333006376,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",37.1294755654157,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",37.1280844608192,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",37.1323243478667,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",37.1342835708927,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",37.1333458953583,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.4,"2027","precFawn",37.1355547141234,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",39.5619520660662,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",36.466439688716,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",37.360216616439,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",37.1274211867268,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",37.1552348796695,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",37.1407333994053,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",37.1381010905583,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",37.1366051891216,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",37.1345121070318,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.3,"2027","precFawn",37.1361406055251,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",39.7695998074985,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",36.6844543661412,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",37.4668241719467,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",37.1776350167522,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",37.1787356144519,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",37.1522399157321,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",37.1438796309263,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",37.1395076201641,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",37.1356783919598,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.2,"2027","precFawn",37.1361406055251,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",39.9788343790158,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",36.8948760533924,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",37.5682618794899,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",37.2251204161088,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",37.2016918279769,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",37.1626018779634,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",37.1490818549642,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",37.1418298916697,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",37.1374279567191,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.1,"2027","precFawn",37.1367265154145,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",40.4058307612383,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.2940371821178,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.7611132586007,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.315850366371,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.2448112259879,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.1833431521503,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.1589122550317,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.1470560645383,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.1397609661866,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.1,"2027","precFawn",37.138484356017,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",40.6224557199256,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.4816434932042,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.8500689676549,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.357342516949,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.2643916317474,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.1925689296902,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.1635401260995,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.1493792801526,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.1403442643548,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.2,"2027","precFawn",37.138484356017,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",40.8414159510718,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.661685294487,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.9359087872998,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.3971925051017,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.2834158415842,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.2012222549673,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.1675904589898,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.1511218825737,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.1415109156589,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.3,"2027","precFawn",37.1390703398656,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",41.0621118012422,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",37.8321270321838,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",38.0162201709189,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",37.4348101951438,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",37.301304771781,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",37.2098796077945,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",37.1710628756501,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",37.1528646484864,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",37.1420942687964,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.4,"2027","precFawn",37.1390703398656,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",41.2864949258392,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",37.9944889620879,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",38.0921186030914,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",37.4701818519781,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",37.3180551254258,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",37.2179634399926,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",37.1756937739434,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",37.1546075779137,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",37.1426776402588,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.5,"2027","precFawn",37.1396563422062,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",39.1530944625407,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",36.0110470701249,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",36.6174375890247,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",36.7713004484305,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",36.9836105825302,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",37.0586690152814,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",37.0994312000746,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",37.1186202371467,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",37.1257673045826,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.5,"2028","precFawn",37.1314539918916,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",39.3564614308464,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",36.2422393087509,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",36.8550516864106,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",36.8862458066484,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",37.0398831937293,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",37.0850277550137,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",37.1121198930415,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",37.125,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",37.1292647312807,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.4,"2028","precFawn",37.1332113333754,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",39.5619520660662,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",36.466439688716,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",37.0783105092157,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",36.9928583444205,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",37.0906180743659,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",37.1097013770695,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",37.1242399265975,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",37.1308016877637,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",37.1315967151852,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.3,"2028","precFawn",37.1343829867794,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",39.7695998074985,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",36.6844543661412,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",37.2877732991328,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",37.0921246319921,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",37.1380580339944,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",37.1326830778758,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",37.1346348292759,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",37.1354443437217,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",37.1339289920387,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.2,"2028","precFawn",37.1355547141234,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",39.9788343790158,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",36.8948760533924,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",37.4835006292783,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",37.1850644858807,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",37.1821772401876,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",37.1533909595068,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",37.1444575838676,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",37.1400881608153,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",37.1362615618964,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",-0.1,"2028","precFawn",37.1361406055251,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",40.4058307612383,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.2940371821178,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.8365816626902,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.350997467729,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.2615108692291,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.1908387476934,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.1629615791768,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.1487984490064,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.1403442643548,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.1,"2028","precFawn",37.138484356017,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",40.6224557199256,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.4816434932042,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.9937460134725,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.424385413927,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.2961094431892,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.2069933758397,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.1704840944833,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.1522837083483,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.1420942687964,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.2,"2028","precFawn",37.1390703398656,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",40.8414159510718,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",37.661685294487,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",38.1391135959022,"Fawn",NA,NA
2029,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",37.4916693789619,"Fawn",NA,NA
2030,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",37.3284594653202,"Fawn",NA,NA
2031,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",37.2231620442941,"Fawn",NA,NA
2032,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",37.1780096558169,"Fawn",NA,NA
2033,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",37.155769621718,"Fawn",NA,NA
2034,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",37.143261030047,"Fawn",NA,NA
2035,"Jackson","Male","Mature (3.5+)",0.3,"2028","precFawn",37.1396563422062,"Fawn",NA,NA
2026,"Jackson","Male","Mature (3.5+)",0.4,"2028","precFawn",41.0621118012422,"Fawn",NA,NA
2027,"Jackson","Male","Mature (3.5+)",0.4,"2028","precFawn",37.8321270321838,"Fawn",NA,NA
2028,"Jackson","Male","Mature (3.5+)",0.4,"2028","precFawn",38.2729979627018,"Fawn",NA,NA
